Comment,Sentiment,clean_text,Predicted_Sentiment,Predicted_Category,Confidence_Score
here in nz 50 of retailers don’t even have contactless credit card machines like paywave which support apple pay they don’t like the high fees that come with these,negative,here in nz 50 of retailers don t even have contactless credit card machines like paywave which support apple pay they don t like the high fees that come with these,negative,Other Negative,0.4237579107284546
whenever i go to a place that doesn’t take apple pay doesn’t happen too often it’s such a drag between ‘contactless covid’ habits and my getting the apple card i’ve gotten so used to apple pay that i get seriously annoyed when a store doesn’t take it it feels like a shock it’s crazy how quickly it took over my shopping routine i’ve officially been brainwashed by apple because now it feels so inconvenient to even carry a physical card in my pocket,negative,whenever i go to a place that doesn t take apple pay doesn t happen too often it s such a drag between contactless covid habits and my getting the apple card i ve gotten so used to apple pay that i get seriously annoyed when a store doesn t take it it feels like a shock it s crazy how quickly it took over my shopping routine i ve officially been brainwashed by apple because now it feels so inconvenient to even carry a physical card in my pocket,negative,Other Negative,0.5074581503868103
holy crap i was looking at chroma systems back when i was designing power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit adcs they are just for looking at the waveforms,negative,holy crap i was looking at chroma systems back when i was designing power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit adcs they are just for looking at the waveforms,negative,Aggressive Behavior,0.23983804881572723
how does every person wired brings on this show act like theyve been in front of cameras 5000 times,negative,how does every person wired brings on this show act like theyve been in front of cameras 5000 times,negative,Other Negative,0.3319969177246094
his face when describing hops killed me “some of them smell pretty… dank “,negative,his face when describing hops killed me some of them smell pretty dank,negative,Other Negative,0.4607120156288147
whenever we get people young enough to actually understand the internet these giant tech companies might be broken up but as long as we have 90 year old senators asking tech ceos how the internet works nothing will get done,negative,whenever we get people young enough to actually understand the internet these giant tech companies might be broken up but as long as we have 90 year old senators asking tech ceos how the internet works nothing will get done,negative,Other Negative,0.45481353998184204
hey something that might interest you a couple of days ago my amazon account was closed with no warning for after hours of wasted time theyre telling me its for excessive returns which i think is an error but thats beside the point when they closed my amazon account all my amazon devices that i own for years primarily all my echo devices stopped working i lost access to the amazon photos and prime video which i pay for so apparently the devices you already own are subject to be disabled by amazon on your perceived shopping habits i assume the same applies to all other amazon devices and services like fire os tablets ring cameras and probably aws as well just wanted to make other people aware of this because they definitely dont tell you this when you buy your hardware and services,negative,hey something that might interest you a couple of days ago my amazon account was closed with no warning for after hours of wasted time theyre telling me its for excessive returns which i think is an error but thats beside the point when they closed my amazon account all my amazon devices that i own for years primarily all my echo devices stopped working i lost access to the amazon photos and prime video which i pay for so apparently the devices you already own are subject to be disabled by amazon on your perceived shopping habits i assume the same applies to all other amazon devices and services like fire os tablets ring cameras and probably aws as well just wanted to make other people aware of this because they definitely dont tell you this when you buy your hardware and services,negative,Other Negative,0.4555310606956482
i personally enjoy the old school phones i have such a hard time hearing my iphone at max volume without the speaker on if i worked in an office i would definitely buy one people forget how ergonomic those old phones are its not particularly comfortable holding a rectangle to your head i also have physically sensitive ears so any type of headphones ear phones whatever cause me a bunch of pain looks like a good product that can both be a gag and something for people out there like me who have a tough time using a regular mobile phone,positive,i personally enjoy the old school phones i have such a hard time hearing my iphone at max volume without the speaker on if i worked in an office i would definitely buy one people forget how ergonomic those old phones are its not particularly comfortable holding a rectangle to your head i also have physically sensitive ears so any type of headphones ear phones whatever cause me a bunch of pain looks like a good product that can both be a gag and something for people out there like me who have a tough time using a regular mobile phone,negative,Other Negative,0.21811287105083466
the fact he didnt buy the nicholas cage spoon is outrageous,negative,the fact he didnt buy the nicholas cage spoon is outrageous,negative,Inappropriate Content,0.6179525256156921
as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,negative,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,negative,Other Negative,0.6938322186470032
